Id,OverallQual,GrLivArea,SalePrice
1,7,1710,208500
2,6,1262,181500
3,7,1786,223500
4,7,1717,140000
5,8,2198,250000
6,5,1362,143000
7,8,1694,307000
8,7,2090,200000
9,7,1774,129900
10,5,1077,118000
11,5,1040,129500
12,9,2324,345000
13,5,912,144000
14,7,1494,279500
15,6,1253,157000
16,7,854,132000
17,6,1004,149000
18,4,1296,90000
19,5,1114,159000
20,5,1339,139000
21,8,2376,325300
22,7,1108,139400
23,8,1795,230000
24,5,1060,129900
25,5,1060,154000
26,8,1600,256300
27,5,900,134800
28,8,1704,306000
29,5,1600,207500
30,4,520,68500
31,4,1317,40000
32,5,1228,149350
33,8,1234,179900
34,5,1700,165500
35,9,1561,277500
36,8,2452,309000
37,5,1097,145000
38,5,1297,153000
39,5,1057,109000
40,4,1152,82000
41,6,1324,160000
42,5,1328,170000
43,5,884,144000
44,5,938,130250
45,5,1150,141000
46,9,1752,319900
47,7,2149,239686
48,8,1656,249700
49,4,1452,113000
50,5,955,127000
51,6,1470,177000
52,6,1176,114500
53,5,816,110000
54,9,1842,385000
55,5,1360,130000
56,6,1425,180500
57,8,1739,172500
58,7,1720,196500
59,10,2945,438780
60,5,780,124900
61,6,1158,158000
62,5,1111,101000
63,8,1370,202500
64,7,1710,140000
65,7,2034,219500
66,8,2473,317000
67,7,2207,180000
68,7,1479,226000
69,4,747,80000
70,7,2287,225000
71,7,2223,244000
72,4,845,129500
73,7,1718,185000
74,5,1086,144900
75,3,1605,107400
76,4,988,91000
77,4,952,135750
78,5,1285,127000
79,4,1768,136500
80,5,1230,110000
81,6,2142,193500
82,6,1337,153500
83,8,1563,245000
84,5,1065,126500
85,7,1474,168500
86,8,2417,260000
87,6,1560,174000
88,6,1224,164500
89,3,1526,85000
90,4,990,123600
91,4,1040,109900
92,5,1235,98600
93,5,964,163500
94,6,2291,133900
95,6,1786,204750
96,6,1470,185000
97,7,1588,214000
98,4,960,94750
99,5,835,83000
100,4,1225,128950
