Id,OverallQual,GrLivArea,SalePrice
1,7,1710,208500
15,6,1253,157000
29,5,1600,207500
43,5,884,144000
57,8,1739,172500
71,7,2223,244000
85,7,1474,168500
99,5,835,83000
113,7,2696,383970
127,6,958,128000
141,4,864,115000
155,6,1200,125000
169,7,1720,183500
183,5,1340,120000
197,7,1726,311872
211,5,864,98000
225,10,2392,386250
239,8,1694,318000
253,6,1640,173000
267,6,1511,185000
281,7,1982,228500
295,6,1644,167000
309,4,861,82500
323,7,2730,301000
337,9,1922,377426
351,9,1869,318061
365,6,1574,190000
379,9,1856,394432
393,5,882,106500
407,6,1639,115000
421,7,1344,206300
435,4,630,81000
449,6,1376,119500
463,5,864,62383
477,6,1493,208900
491,5,1304,115000
505,6,1322,147000
519,6,1796,211000
533,5,827,107500
547,6,1635,210000
561,5,1392,121500
575,5,1109,139000
589,5,1473,143000
603,8,1915,220000
617,6,1509,183200
631,5,1750,124000
645,9,1766,370878
659,6,1458,97500
673,6,1208,165000
687,7,1761,227875
701,8,1800,312500
715,6,1479,130500
729,5,1776,110000
743,7,1349,179000
757,8,1768,212000
771,5,858,134900
785,6,1484,128000
799,9,3140,485000
813,5,1044,55993
827,5,784,109500
841,6,1482,140000
855,5,1779,170000
869,5,2320,169000
883,6,1593,178000
897,4,951,106500
911,5,2274,154300
925,6,1686,207500
939,7,1962,239799
953,5,768,133900
967,5,1308,160000
981,7,999,178400
995,10,1718,337500
1009,7,1710,240000
1023,5,1248,87000
1037,9,1620,315500
1051,7,1302,176485
1065,5,1154,154000
1079,6,848,155900
1093,6,1694,136500
1107,7,1442,179900
1121,6,1012,118400
1135,6,1600,169000
1149,7,1111,116900
1163,5,894,129000
1177,5,923,119500
1191,4,1622,168000
1205,5,1074,153500
1219,4,912,80500
1233,4,1224,101800
1247,7,1553,186500
1261,6,1675,181000
1275,5,1250,139000
1289,8,1659,278000
1303,8,2526,290000
1317,8,1630,295493
1331,8,1588,227000
1345,7,1456,155835
1359,6,1573,177500
1373,7,2097,274300
1387,7,2784,250000
1401,6,1158,120000
1415,6,1848,207000
1429,5,804,119000
1443,10,2007,310000
1457,6,2073,210000
