Id,OverallQual,GrLivArea,SalePrice
1456,6,1647,175000
1257,8,1987,301500
959,7,1337,185000
186,10,3608,475000
1423,6,848,136500
1138,5,1020,94000
1260,6,1054,151000
1310,6,1294,179200
372,4,1588,134432
122,4,1123,100000
598,7,1402,194201
1320,4,948,111000
823,7,1733,225000
387,5,1184,81000
1363,4,1738,104900
1176,8,2872,285000
320,7,1472,187500
329,6,2134,214500
1292,5,1302,119500
1090,8,1247,197000
903,7,1509,180000
88,6,1224,164500
241,8,1566,262500
712,4,1178,102776
87,6,1560,174000
1371,4,1374,105000
345,5,1112,85000
1087,4,1092,83500
204,6,848,149000
261,6,1382,176000
1394,6,1912,163000
1421,6,1416,179900
520,7,2080,234000
771,5,858,134900
787,5,1652,139000
55,5,1360,130000
546,7,2183,229000
582,8,2042,253293
148,7,2035,222500
1210,8,1660,290000
144,7,1501,204000
1058,7,1850,248000
1241,7,1768,224900
722,6,848,143000
313,5,1118,119900
255,5,1314,145000
1226,6,1138,145000
366,5,1344,147000
1412,6,1668,140000
1305,7,1708,130000
373,6,752,125000
1068,6,1611,167900
1026,5,882,112500
140,6,1764,231500
1218,8,1314,229456
10,5,1077,118000
200,8,1713,274900
833,7,1829,237000
754,8,2098,275500
1409,4,1363,125500
765,8,1494,270000
762,5,1301,100000
60,5,780,124900
280,7,2022,192000
725,9,1698,320000
1273,5,935,137000
857,6,1026,147000
478,9,2643,380000
358,5,1142,134000
490,4,630,86000
1036,4,845,84000
1018,8,1360,187500
711,3,729,52000
1411,7,1840,230000
748,7,2640,265979
567,9,2504,325000
181,6,1525,177000
545,7,1496,179665
938,7,1971,253000
1111,6,1658,188000
1091,3,1040,92900
1443,10,2007,310000
449,6,1376,119500
559,7,1446,175000
1382,6,2117,237500
526,7,1266,176000
172,6,1656,215000
640,8,1567,264561
1345,7,1456,155835
1298,6,1072,140000
1300,5,1246,154000
534,1,334,39300
73,7,1718,185000
339,7,1621,202500
138,7,1959,171000
364,6,987,118000
1384,5,1416,112000
194,7,1709,130000
1188,8,1624,262000
209,7,2062,277000
